n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
Some,Some,2,J H M L,MHJL,high_load,Some,blue,gray,1,2,6,4,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,2,L J R B,RJLB,high_load,Some,red,green,4,3,3,2,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,2,B F Q X,QFBX,high_load,Some,green,red,1,4,2,6,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,2,L Q X H,XQLH,high_load,Some,red,gray,3,1,2,6,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,2,M R X L,XRML,high_load,All,red,purple,3,4,2,6,red,red,purple,purple,partial,partial,400,150,200,150,300,250,300,50
All,All,2,L F B J,BFLJ,high_load,All,blue,yellow,4,6,1,1,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,2,F X L R,LXFR,high_load,All,red,purple,6,4,1,5,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,2,L Q M X,MQLX,high_load,All,blue,black,2,5,5,2,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,2,R B F Q,FBRQ,high_load,2,green,purple,1,5,3,5,green,purple,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,2,J Q L X,LQJX,high_load,8,green,black,5,3,3,3,green,green,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,2,J H F M,FHJM,high_load,10,red,purple,1,5,5,1,red,red,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,2,F M X J,XMFJ,high_load,12,green,red,6,6,3,1,green,green,red,red,filler_item,filler_item,400,150,200,150,300,250,300,50
Between 3 and 5,filler_item,2,J X B H,BXJH,high_load,Between 3 and 5,red,black,6,2,2,2,red,red,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
More than 2,filler_item,2,R F J M,JFRM,high_load,More than 2,green,blue,1,5,5,3,green,blue,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,3,L Q X J,XQLJ,high_load,4,red,black,1,6,2,5,red,black,black,black,inferior,n-3,300,50,300,250,400,150,200,150
4,number,3,Q J X F,XJQF,high_load,4,blue,green,1,6,3,4,blue,green,green,green,inferior,n-3,300,50,300,250,400,150,200,150
4,number,3,M Q H J,HQMJ,high_load,4,red,yellow,3,1,4,5,red,red,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
4,number,3,F H M B,MHFB,high_load,4,red,black,1,3,6,2,red,red,black,black,intermediate,n,400,150,200,150,300,250,300,50
4,number,3,B X F R,FXBR,high_load,4,blue,green,4,3,5,2,blue,blue,green,green,superior,n+3,400,150,200,150,300,250,300,50
4,number,3,L F J H,JFLH,high_load,4,red,black,5,2,4,5,red,red,black,black,superior,n+3,300,50,300,250,400,150,200,150
