n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,2,L X,XL,low_load,4,green,red,5,1,4,4,green,green,red,red,superior,n+2,300,50,300,250,400,150,200,150
4,number,2,B M,MB,low_load,4,green,purple,2,5,1,5,green,green,purple,purple,superior,n+3,300,50,300,250,400,150,200,150
5,number,2,H B,BH,low_load,5,blue,red,1,1,6,6,blue,blue,red,red,inferior,n-3,400,150,200,150,300,250,300,50
5,number,2,M Q,QM,low_load,5,green,blue,1,2,4,5,green,green,blue,blue,inferior,n-2,300,50,300,250,400,150,200,150
5,number,2,X J,JX,low_load,5,blue,green,3,1,4,6,blue,blue,green,green,inferior,n-1,400,150,200,150,300,250,300,50
5,number,2,L R,RL,low_load,5,red,purple,1,4,2,5,red,red,purple,purple,intermediate,n,300,50,300,250,400,150,200,150
5,number,2,H J,JH,low_load,5,green,red,4,2,2,6,green,green,red,red,superior,n+1,300,50,300,250,400,150,200,150
5,number,2,B F,FB,low_load,5,green,yellow,4,3,2,5,green,green,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
5,number,2,B Q,QB,low_load,5,green,yellow,6,2,3,2,green,green,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,2,L F,FL,low_load,Some,red,purple,6,3,1,6,purple,purple,purple,purple,null,null,400,150,200,150,300,250,300,50
Some,Some,2,X L,LX,low_load,Some,red,black,5,2,3,5,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,2,J L,LJ,low_load,Some,blue,green,4,5,2,5,blue,blue,green,green,partial,partial,300,50,300,250,400,150,200,150
Some,Some,2,B L,LB,low_load,Some,red,green,5,1,6,3,red,red,green,green,partial,partial,400,150,200,150,300,250,300,50
Some,Some,2,B Q,QB,low_load,Some,blue,red,5,5,5,1,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,2,Q F,FQ,low_load,Some,green,black,5,2,1,5,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,2,Q M,MQ,low_load,All,green,black,4,4,3,5,black,black,black,black,null,null,400,150,200,150,300,250,300,50
All,All,2,H X,XH,low_load,All,blue,black,4,5,2,5,black,black,black,black,null,null,400,150,200,150,300,250,300,50
All,All,2,F R,RF,low_load,All,green,black,6,1,2,5,green,green,black,black,partial,partial,300,50,300,250,400,150,200,150
All,All,2,Q J,JQ,low_load,All,red,black,1,4,3,4,red,red,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,2,Q J,JQ,low_load,All,green,yellow,2,4,6,4,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,2,R M,MR,low_load,All,green,yellow,5,6,3,2,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,2,B Q,QB,low_load,2,blue,green,1,6,4,4,blue,green,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,2,H L,LH,low_load,8,green,blue,5,3,3,1,green,green,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,2,Q L,LQ,low_load,10,red,purple,2,4,3,5,red,red,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,2,J Q,QJ,low_load,12,blue,gray,6,6,1,1,blue,blue,gray,gray,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,3,Q X,XQ,low_load,4,green,blue,1,1,5,6,green,blue,blue,blue,inferior,n-3,400,150,200,150,300,250,300,50
4,number,3,J M,MJ,low_load,4,green,purple,1,1,5,6,green,green,purple,purple,inferior,n-2,400,150,200,150,300,250,300,50
4,number,3,J H,HJ,low_load,4,blue,gray,1,2,4,6,blue,blue,gray,gray,inferior,n-1,400,150,200,150,300,250,300,50
4,number,3,F Q,QF,low_load,4,blue,yellow,3,1,6,5,blue,blue,yellow,yellow,intermediate,n,400,150,200,150,300,250,300,50
4,number,3,F J,JF,low_load,4,blue,yellow,2,3,4,4,blue,blue,yellow,yellow,superior,n+1,300,50,300,250,400,150,200,150
4,number,3,L J,JL,low_load,4,red,gray,5,1,4,5,red,red,gray,gray,superior,n+2,300,50,300,250,400,150,200,150
4,number,3,F Q,QF,low_load,4,blue,gray,6,1,1,6,blue,blue,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
5,number,3,X L,LX,low_load,5,red,green,1,1,4,6,red,red,green,green,inferior,n-3,300,50,300,250,400,150,200,150
5,number,3,B X,XB,low_load,5,blue,yellow,2,1,5,4,blue,blue,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
5,number,3,J F,FJ,low_load,5,blue,black,1,3,4,6,blue,blue,black,black,inferior,n-1,300,50,300,250,400,150,200,150
5,number,3,L F,FL,low_load,5,red,black,3,2,4,3,red,red,black,black,intermediate,n,300,50,300,250,400,150,200,150
5,number,3,Q B,BQ,low_load,5,red,green,4,2,3,4,red,red,green,green,superior,n+1,300,50,300,250,400,150,200,150
5,number,3,Q B,BQ,low_load,5,green,red,3,4,4,5,green,green,red,red,superior,n+2,300,50,300,250,400,150,200,150
5,number,3,R J,JR,low_load,5,red,blue,6,2,3,2,red,red,blue,blue,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,3,X F,FX,low_load,Some,green,blue,4,2,4,2,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,3,R X,XR,low_load,Some,blue,black,1,2,6,4,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,3,B M,MB,low_load,Some,blue,green,3,3,4,5,blue,blue,green,green,partial,partial,300,50,300,250,400,150,200,150
Some,Some,3,R X,XR,low_load,Some,green,black,1,4,4,6,green,green,black,black,partial,partial,400,150,200,150,300,250,300,50
Some,Some,3,R H,HR,low_load,Some,blue,green,5,4,4,3,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,3,J F,FJ,low_load,Some,red,gray,4,2,4,4,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,3,R Q,QR,low_load,All,red,purple,6,2,3,3,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
All,All,3,B H,HB,low_load,All,green,yellow,4,1,6,2,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
All,All,3,Q X,XQ,low_load,All,blue,gray,2,2,4,5,blue,blue,gray,gray,partial,partial,300,50,300,250,400,150,200,150
All,All,3,J M,MJ,low_load,All,blue,yellow,6,1,1,4,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,3,X R,RX,low_load,All,green,yellow,4,3,4,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,3,R L,LR,low_load,All,red,gray,3,2,3,4,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,3,M Q,QM,low_load,2,red,purple,1,6,2,3,red,purple,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,3,J L,LJ,low_load,8,green,black,3,5,5,1,green,green,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,3,R X,XR,low_load,10,green,purple,4,2,4,3,green,green,purple,purple,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,3,X M,MX,low_load,12,green,red,6,6,3,1,green,green,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,4,F H,HF,low_load,4,green,purple,1,1,5,5,green,purple,purple,purple,inferior,n-3,400,150,200,150,300,250,300,50
4,number,4,J R,RJ,low_load,4,red,gray,1,1,5,6,red,red,gray,gray,inferior,n-2,400,150,200,150,300,250,300,50
4,number,4,L M,ML,low_load,4,red,green,2,1,3,6,red,red,green,green,inferior,n-1,300,50,300,250,400,150,200,150
4,number,4,Q L,LQ,low_load,4,red,blue,1,3,5,4,red,red,blue,blue,intermediate,n,400,150,200,150,300,250,300,50
4,number,4,Q H,HQ,low_load,4,blue,red,3,2,6,5,blue,blue,red,red,superior,n+1,300,50,300,250,400,150,200,150
4,number,4,F R,RF,low_load,4,red,purple,1,5,6,4,red,red,purple,purple,superior,n+2,400,150,200,150,300,250,300,50
4,number,4,M J,JM,low_load,4,red,blue,6,1,1,4,red,red,blue,blue,superior,n+3,300,50,300,250,400,150,200,150
5,number,4,L J,JL,low_load,5,red,black,1,1,5,6,red,red,black,black,inferior,n-3,400,150,200,150,300,250,300,50
5,number,4,R L,LR,low_load,5,green,blue,2,1,6,4,green,green,blue,blue,inferior,n-2,400,150,200,150,300,250,300,50
5,number,4,B R,RB,low_load,5,blue,yellow,3,1,4,5,blue,blue,yellow,yellow,inferior,n-1,400,150,200,150,300,250,300,50
5,number,4,B M,MB,low_load,5,red,purple,3,2,4,6,red,red,purple,purple,intermediate,n,300,50,300,250,400,150,200,150
5,number,4,Q R,RQ,low_load,5,blue,gray,2,4,3,5,blue,blue,gray,gray,superior,n+1,400,150,200,150,300,250,300,50
5,number,4,Q H,HQ,low_load,5,green,blue,6,1,3,6,green,green,blue,blue,superior,n+2,300,50,300,250,400,150,200,150
5,number,4,Q R,RQ,low_load,5,green,black,6,2,2,4,green,green,black,black,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,4,X Q,QX,low_load,Some,green,black,4,4,1,6,black,black,black,black,null,null,400,150,200,150,300,250,300,50
Some,Some,4,X B,BX,low_load,Some,red,blue,1,5,4,2,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
Some,Some,4,Q B,BQ,low_load,Some,green,yellow,1,6,4,1,green,green,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
Some,Some,4,X M,MX,low_load,Some,red,black,3,1,3,6,red,red,black,black,partial,partial,400,150,200,150,300,250,300,50
Some,Some,4,Q B,BQ,low_load,Some,blue,green,5,4,2,2,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,4,R M,MR,low_load,Some,green,blue,6,4,5,1,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
All,All,4,J L,LJ,low_load,All,blue,red,4,2,2,4,red,red,red,red,null,null,400,150,200,150,300,250,300,50
All,All,4,B X,XB,low_load,All,green,black,3,5,2,4,black,black,black,black,null,null,300,50,300,250,400,150,200,150
All,All,4,J F,FJ,low_load,All,blue,yellow,2,3,5,6,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,4,B L,LB,low_load,All,green,purple,6,5,3,2,green,green,purple,purple,partial,partial,400,150,200,150,300,250,300,50
All,All,4,J X,XJ,low_load,All,blue,black,1,5,3,3,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
All,All,4,F L,LF,low_load,All,blue,green,5,1,5,3,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,4,B H,HB,low_load,2,blue,green,1,6,1,5,blue,green,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
