n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
All,All,2,M L Q,QLM,high_load,All,red,purple,1,2,5,5,red,red,purple,purple,partial,partial,300,50,300,250,400,150,200,150
All,All,2,H M F,FMH,high_load,All,red,black,1,2,4,6,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,2,X Q B,BQX,high_load,All,blue,red,4,1,4,4,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,2,X M Q,QMX,high_load,Two,green,yellow,1,4,5,6,green,yellow,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,2,M H B,BHM,high_load,Eight,green,red,3,5,1,5,green,green,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,2,H Q F,FQH,high_load,Six,blue,yellow,1,5,2,6,blue,blue,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,2,L H X,XHL,high_load,Twelve,blue,gray,6,6,1,3,blue,blue,gray,gray,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,3,F X J,JXF,high_load,Four,green,blue,1,3,4,6,green,blue,blue,blue,inferior,n-3,300,50,300,250,400,150,200,150
4,number,3,H J Q,QJH,high_load,Four,green,purple,1,1,5,5,green,green,purple,purple,inferior,n-2,400,150,200,150,300,250,300,50
4,number,3,F X B,BXF,high_load,Four,green,blue,1,2,5,5,green,green,blue,blue,inferior,n-1,300,50,300,250,400,150,200,150
4,number,3,M X L,LXM,high_load,Four,red,purple,1,3,4,5,red,red,purple,purple,intermediate,n,400,150,200,150,300,250,300,50
4,number,3,B Q R,RQB,high_load,Four,blue,gray,3,2,3,4,blue,blue,gray,gray,superior,n+1,400,150,200,150,300,250,300,50
4,number,3,L F B,BFL,high_load,Four,red,gray,5,1,1,5,red,red,gray,gray,superior,n+2,300,50,300,250,400,150,200,150
4,number,3,F B H,HBF,high_load,Four,blue,gray,5,2,3,2,blue,blue,gray,gray,superior,n+3,300,50,300,250,400,150,200,150
5,number,3,J M L,LMJ,high_load,Five,red,yellow,1,1,5,6,red,red,yellow,yellow,inferior,n-3,400,150,200,150,300,250,300,50
5,number,3,X J Q,QJX,high_load,Five,red,black,1,2,6,3,red,red,black,black,inferior,n-2,300,50,300,250,400,150,200,150
5,number,3,B Q M,MQB,high_load,Five,blue,gray,1,3,6,4,blue,blue,gray,gray,inferior,n-1,300,50,300,250,400,150,200,150
5,number,3,Q R L,LRQ,high_load,Five,green,blue,4,1,6,1,green,green,blue,blue,intermediate,n,300,50,300,250,400,150,200,150
5,number,3,B M X,XMB,high_load,Five,green,yellow,2,4,3,4,green,green,yellow,yellow,superior,n+1,400,150,200,150,300,250,300,50
5,number,3,X J M,MJX,high_load,Five,green,yellow,6,1,6,1,green,green,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
5,number,3,B H L,LHB,high_load,Five,green,yellow,6,2,3,5,green,green,yellow,yellow,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,3,Q X B,BXQ,high_load,Some,red,blue,2,4,3,3,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,3,F R B,BRF,high_load,Some,green,blue,2,6,5,2,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
Some,Some,3,X H B,BHX,high_load,Some,red,purple,4,3,3,2,red,red,purple,purple,partial,partial,400,150,200,150,300,250,300,50
Some,Some,3,Q H J,JHQ,high_load,Some,green,red,5,6,4,1,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
Some,Some,3,Q F X,XFQ,high_load,Some,red,yellow,3,5,3,3,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,3,H L X,XLH,high_load,Some,green,purple,4,2,4,5,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
All,All,3,Q X F,FXQ,high_load,All,green,yellow,1,6,3,2,yellow,yellow,yellow,yellow,null,null,300,50,300,250,400,150,200,150
All,All,3,R X J,JXR,high_load,All,blue,yellow,6,3,2,1,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
All,All,3,F H L,LHF,high_load,All,red,gray,2,1,6,3,red,red,gray,gray,partial,partial,400,150,200,150,300,250,300,50
All,All,3,F L M,MLF,high_load,All,green,yellow,1,5,4,2,green,green,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
All,All,3,L J F,FJL,high_load,All,green,blue,3,6,4,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,3,J X M,MXJ,high_load,All,blue,yellow,1,4,2,6,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,3,J X H,HXJ,high_load,Two,green,black,1,4,5,3,green,black,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,3,X Q M,MQX,high_load,Eight,red,gray,2,6,6,2,red,red,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,3,B Q F,FQB,high_load,Six,green,purple,5,1,5,2,green,green,purple,purple,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,3,X F H,HFX,high_load,Twelve,green,yellow,6,6,3,1,green,green,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,4,L M Q,QML,high_load,Four,green,purple,1,6,2,3,green,purple,purple,purple,inferior,n-3,300,50,300,250,400,150,200,150
