n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,2,X R,RX,low_load,Four,green,purple,1,5,2,5,green,green,purple,purple,superior,n+2,300,50,300,250,400,150,200,150
4,number,2,L X,XL,low_load,Four,red,green,5,2,4,3,red,red,green,green,superior,n+3,400,150,200,150,300,250,300,50
5,number,2,B F,FB,low_load,Five,blue,gray,1,1,5,6,blue,blue,gray,gray,inferior,n-3,300,50,300,250,400,150,200,150
5,number,2,B R,RB,low_load,Five,blue,yellow,2,1,6,4,blue,blue,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
5,number,2,F B,BF,low_load,Five,red,purple,1,3,6,4,red,red,purple,purple,inferior,n-1,300,50,300,250,400,150,200,150
5,number,2,R X,XR,low_load,Five,blue,gray,4,1,6,4,blue,blue,gray,gray,intermediate,n,300,50,300,250,400,150,200,150
5,number,2,Q F,FQ,low_load,Five,blue,green,4,2,6,2,blue,blue,green,green,superior,n+1,300,50,300,250,400,150,200,150
5,number,2,M X,XM,low_load,Five,green,blue,3,4,6,1,green,green,blue,blue,superior,n+2,300,50,300,250,400,150,200,150
5,number,2,R X,XR,low_load,Five,red,yellow,2,6,3,4,red,red,yellow,yellow,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,2,J X,XJ,low_load,Some,green,purple,1,6,1,5,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
Some,Some,2,L J,JL,low_load,Some,blue,red,1,5,4,3,red,red,red,red,null,null,400,150,200,150,300,250,300,50
Some,Some,2,R H,HR,low_load,Some,blue,yellow,3,4,3,5,blue,blue,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
Some,Some,2,B M,MB,low_load,Some,green,yellow,3,2,2,6,green,green,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
Some,Some,2,L Q,QL,low_load,Some,blue,red,2,6,3,5,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,2,F X,XF,low_load,Some,green,purple,2,3,6,1,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,2,Q B,BQ,low_load,All,blue,yellow,1,3,6,3,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
All,All,2,F J,JF,low_load,All,green,red,2,4,4,2,red,red,red,red,null,null,300,50,300,250,400,150,200,150
All,All,2,L R,RL,low_load,All,green,red,6,3,2,5,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
All,All,2,L H,HL,low_load,All,blue,yellow,6,2,6,2,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,2,L F,FL,low_load,All,green,red,3,5,1,5,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
All,All,2,L Q,QL,low_load,All,blue,yellow,1,4,5,2,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,2,H M,MH,low_load,Two,red,gray,1,6,5,4,red,gray,gray,gray,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,2,J B,BJ,low_load,Eight,red,blue,2,6,5,3,red,red,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,2,F Q,QF,low_load,Six,red,black,5,1,2,6,red,red,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
