n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
2,filler_item,2,R M B,BMR,high_load,2,red,blue,1,4,5,5,red,blue,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,2,F X J,JXF,high_load,8,green,yellow,6,2,4,3,green,green,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,2,L F Q,QFL,high_load,10,blue,black,1,5,1,6,blue,blue,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,2,F L M,MLF,high_load,12,green,purple,6,6,1,2,green,green,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,3,Q R H,HRQ,high_load,4,blue,green,1,3,4,4,blue,green,green,green,inferior,n-3,300,50,300,250,400,150,200,150
4,number,3,X M F,FMX,high_load,4,red,blue,1,1,6,6,red,red,blue,blue,inferior,n-2,300,50,300,250,400,150,200,150
4,number,3,F R Q,QRF,high_load,4,blue,green,2,1,5,4,blue,blue,green,green,inferior,n-1,400,150,200,150,300,250,300,50
4,number,3,M X J,JXM,high_load,4,blue,red,3,1,6,3,blue,blue,red,red,intermediate,n,300,50,300,250,400,150,200,150
4,number,3,J H Q,QHJ,high_load,4,green,red,2,3,4,3,green,green,red,red,superior,n+1,300,50,300,250,400,150,200,150
4,number,3,B Q L,LQB,high_load,4,blue,gray,1,5,1,5,blue,blue,gray,gray,superior,n+2,300,50,300,250,400,150,200,150
4,number,3,J Q B,BQJ,high_load,4,green,blue,1,6,2,3,green,green,blue,blue,superior,n+3,300,50,300,250,400,150,200,150
5,number,3,B J L,LJB,high_load,5,green,purple,1,1,4,6,green,green,purple,purple,inferior,n-3,400,150,200,150,300,250,300,50
5,number,3,J B F,FBJ,high_load,5,blue,yellow,2,1,5,5,blue,blue,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
5,number,3,M X Q,QXM,high_load,5,green,blue,3,1,6,5,green,green,blue,blue,inferior,n-1,300,50,300,250,400,150,200,150
5,number,3,B Q H,HQB,high_load,5,green,purple,2,3,5,6,green,green,purple,purple,intermediate,n,400,150,200,150,300,250,300,50
5,number,3,X R B,BRX,high_load,5,red,purple,2,4,6,4,red,red,purple,purple,superior,n+1,300,50,300,250,400,150,200,150
5,number,3,F Q L,LQF,high_load,5,red,blue,6,1,5,2,red,red,blue,blue,superior,n+2,300,50,300,250,400,150,200,150
5,number,3,Q R F,FRQ,high_load,5,blue,yellow,2,6,4,3,blue,blue,yellow,yellow,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,3,M B L,LBM,high_load,Some,blue,yellow,3,5,3,5,yellow,yellow,yellow,yellow,null,null,300,50,300,250,400,150,200,150
Some,Some,3,J X H,HXJ,high_load,Some,blue,green,3,3,4,5,green,green,green,green,null,null,300,50,300,250,400,150,200,150
Some,Some,3,B F H,HFB,high_load,Some,blue,black,3,5,1,5,blue,blue,black,black,partial,partial,300,50,300,250,400,150,200,150
Some,Some,3,Q X F,FXQ,high_load,Some,green,black,6,2,1,4,green,green,black,black,partial,partial,400,150,200,150,300,250,300,50
Some,Some,3,L X R,RXL,high_load,Some,green,blue,6,3,1,4,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,3,B L J,JLB,high_load,Some,red,gray,3,1,4,4,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,3,H Q X,XQH,high_load,All,red,yellow,1,6,6,1,yellow,yellow,yellow,yellow,null,null,300,50,300,250,400,150,200,150
All,All,3,B L X,XLB,high_load,All,green,purple,1,3,6,2,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
All,All,3,L X R,RXL,high_load,All,blue,green,6,2,5,2,blue,blue,green,green,partial,partial,400,150,200,150,300,250,300,50
All,All,3,B R M,MRB,high_load,All,blue,black,1,5,4,5,blue,blue,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,3,R M X,XMR,high_load,All,blue,yellow,4,4,2,4,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
All,All,3,X B Q,QBX,high_load,All,red,yellow,2,4,4,6,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,3,Q R J,JRQ,high_load,2,red,blue,1,2,5,5,red,blue,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,3,X R L,LRX,high_load,8,red,purple,3,5,4,3,red,red,purple,purple,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,3,M B R,RBM,high_load,10,blue,black,1,5,2,5,blue,blue,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,3,F H X,XHF,high_load,12,red,gray,6,6,2,1,red,red,gray,gray,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,4,B R L,LRB,high_load,4,red,black,1,6,1,4,red,black,black,black,inferior,n-3,400,150,200,150,300,250,300,50
4,number,4,F M Q,QMF,high_load,4,red,green,1,1,6,4,red,red,green,green,inferior,n-2,300,50,300,250,400,150,200,150
4,number,4,H L X,XLH,high_load,4,green,purple,1,2,5,5,green,green,purple,purple,inferior,n-1,400,150,200,150,300,250,300,50
4,number,4,B J R,RJB,high_load,4,blue,green,3,1,6,2,blue,blue,green,green,intermediate,n,400,150,200,150,300,250,300,50
4,number,4,F R B,BRF,high_load,4,blue,red,3,2,5,6,blue,blue,red,red,superior,n+1,400,150,200,150,300,250,300,50
4,number,4,R J Q,QJR,high_load,4,blue,yellow,5,1,3,3,blue,blue,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
4,number,4,M R L,LRM,high_load,4,blue,yellow,6,1,2,6,blue,blue,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
5,number,4,J R F,FRJ,high_load,5,green,blue,1,1,6,6,green,green,blue,blue,inferior,n-3,300,50,300,250,400,150,200,150
5,number,4,L Q R,RQL,high_load,5,blue,yellow,2,1,4,5,blue,blue,yellow,yellow,inferior,n-2,400,150,200,150,300,250,300,50
5,number,4,B L X,XLB,high_load,5,green,purple,3,1,4,6,green,green,purple,purple,inferior,n-1,400,150,200,150,300,250,300,50
5,number,4,H B R,RBH,high_load,5,blue,red,3,2,5,3,blue,blue,red,red,intermediate,n,300,50,300,250,400,150,200,150
5,number,4,H Q M,MQH,high_load,5,red,yellow,4,2,6,3,red,red,yellow,yellow,superior,n+1,400,150,200,150,300,250,300,50
5,number,4,R H Q,QHR,high_load,5,red,yellow,3,4,2,5,red,red,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
5,number,4,F X L,LXF,high_load,5,blue,red,6,2,5,1,blue,blue,red,red,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,4,H L J,JLH,high_load,Some,green,black,4,5,1,2,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,4,R F M,MFR,high_load,Some,red,green,2,2,5,3,green,green,green,green,null,null,300,50,300,250,400,150,200,150
Some,Some,4,F M H,HMF,high_load,Some,blue,black,5,6,3,2,blue,blue,black,black,partial,partial,300,50,300,250,400,150,200,150
Some,Some,4,B M J,JMB,high_load,Some,green,blue,4,2,5,2,green,green,blue,blue,partial,partial,400,150,200,150,300,250,300,50
Some,Some,4,Q M J,JMQ,high_load,Some,red,purple,6,2,5,2,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,4,M J B,BJM,high_load,Some,green,yellow,3,6,6,1,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,4,F B R,RBF,high_load,All,blue,black,5,5,1,1,black,black,black,black,null,null,300,50,300,250,400,150,200,150
All,All,4,M Q L,LQM,high_load,All,red,yellow,3,5,2,4,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
All,All,4,L X H,HXL,high_load,All,green,red,2,1,4,6,green,green,red,red,partial,partial,300,50,300,250,400,150,200,150
All,All,4,R B X,XBR,high_load,All,green,red,5,6,1,2,green,green,red,red,partial,partial,300,50,300,250,400,150,200,150
All,All,4,L F H,HFL,high_load,All,green,black,4,1,3,4,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
All,All,4,X H M,MHX,high_load,All,green,purple,4,2,2,6,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,4,L J Q,QJL,high_load,2,red,gray,1,4,3,6,red,gray,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,4,X J F,FJX,high_load,8,green,yellow,6,2,4,2,green,green,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,4,M H J,JHM,high_load,10,blue,green,4,2,5,1,blue,blue,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,4,H R L,LRH,high_load,12,blue,red,6,6,1,2,blue,blue,red,red,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,5,Q J F,FJQ,high_load,4,blue,gray,1,5,5,1,blue,gray,gray,gray,inferior,n-3,400,150,200,150,300,250,300,50
